"id","name","ispartof","location","homepage","timeline.owl#start","timeline.owl#end","abstractregistrationdate","notificationduedate","submissiondeadlinedate","finalversionduedate","created"
"2605816121","ISAAC 2018","1175727152","http://dbpedia.org/resource/Gold_Coast,_Queensland","https://www.isaac-online.org/english/conference-2018/","2018-07-21","2018-07-26",NULL,NULL,NULL,NULL,"2017-04-28"
"2606237473","COLLABORATECOM 2017","1181194180",NULL,"http://collaboratecom.org/2017/show/home","2017-11-11","2017-11-12",NULL,NULL,"2017-07-15",NULL,"2017-04-28"
"2624677618","ICMTS 2012","2622842568","http://dbpedia.org/resource/San_Diego",NULL,"2012-03-19","2012-03-22",NULL,NULL,NULL,NULL,"2017-06-23"
"2625155783","AusCTW 2006","2623485813","http://dbpedia.org/resource/Perth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-23"
"2625834887","MFI 2012","2622692353","http://dbpedia.org/resource/Hamburg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-23"
"2625883373","CPEM 1998","2621418840","http://dbpedia.org/resource/Washington,_D.C.",NULL,"1998-07-06","1998-07-10",NULL,NULL,NULL,NULL,"2017-06-23"
"2626300556","CISP 2010","2623715279","http://dbpedia.org/resource/Yantai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-23"
"2626680900","MMAR 2013","2622930878","http://dbpedia.org/resource/Międzyzdroje",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-23"
"2626987304","ISSE 2014","2623496199","http://dbpedia.org/resource/Dresden",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-23"
"2627002449","DD 2016","2622308478","http://dbpedia.org/resource/Saint_Petersburg",NULL,"2016-06-27","2016-07-01",NULL,NULL,NULL,NULL,"2017-06-23"
"2657071577","SOI 2001","2622952099","http://dbpedia.org/resource/Durango,_Colorado",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-30"
"2657867744","OCEANS 2000","2624080447","http://dbpedia.org/resource/Providence,_Rhode_Island",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-06-30"
"2784527191","ICML 1991","1180662882","http://dbpedia.org/resource/Evanston,_Illinois",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-02-02"
"2790986299","INFOCOM 2006","1143723981","http://dbpedia.org/resource/Barcelona","http://infocom2006.ieee-infocom.org/","2006-04-23","2006-04-29",NULL,"2005-10-31","2005-07-06","2006-01-06","2018-03-29"
